uri,coordinates
"http://maps.google.com/maps?f=d&source=s_d&saddr=43.03588,-76.138114&daddr=43.046537,-76.137755","--- 
LonLat: 
- - -76.1381
  - 43.03588
- - -76.13827
  - 43.03795
- - -76.13826
  - 43.03822
- - -76.13792
  - 43.03998
- - -76.13787
  - 43.04054
- - -76.13775
  - 43.04654
"
"http://maps.google.com/maps?f=d&source=s_d&saddr=43.046492,-76.137756&daddr=43.037275,-76.131456","--- 
LonLat: 
- - -76.13775
  - 43.04649
- - -76.13787
  - 43.04054
- - -76.13802
  - 43.03943
- - -76.13802
  - 43.03943
- - -76.1316
  - 43.03936
- - -76.1316
  - 43.03936
- - -76.13146
  - 43.03727
"
"http://maps.google.com/maps?f=d&source=s_d&saddr=43.024771,-76.121804&daddr=43.030057,-76.1197314+to:43.0321846,-76.1216577+to:43.03647,-76.12565+to:43.03628,-76.1298+to:43.039376,-76.132573&geocode=FYOBkAIdNHl2-w%3BFSmWkAIdTYF2-yl14wBYZfPZiTGWtqtzJpXQSA%3BFXiekAIdx3l2-yn9-Yu2cfPZiTGjRoCTrHtd_Q%3BFTavkAIdLmp2-ym9RnWZc_PZiTGICaeZvayQBA%3BFXiukAId-Fl2-ymZI4u1dfPZiTGKHCl7mIBqjA%3BFZC6kAIdI092-w&hl=en&mra=dpe&mrsp=2&sz=16&via=1,2,3,4&sll=43.034329,-76.121972&sspn=0.00585,0.010042&ie=UTF8&ll=43.030502,-76.121607&spn=0.011701,0.020084&t=h&z=15","--- 
LonLat: 
- - -76.12182
  - 43.02478
- - -76.12208
  - 43.02778
- - -76.12208
  - 43.02778
- - -76.11955
  - 43.0279
- - -76.11955
  - 43.0279
- - -76.11991
  - 43.03162
- - -76.11991
  - 43.03162
- - -76.12097
  - 43.03222
- - -76.12097
  - 43.03222
- - -76.12275
  - 43.03213
- - -76.12275
  - 43.03213
- - -76.12317
  - 43.0366
- - -76.12317
  - 43.0366
- - -76.1298
  - 43.03628
- - -76.1298
  - 43.03628
- - -76.13008
  - 43.03935
- - -76.13008
  - 43.03935
- - -76.13257
  - 43.03937
"
"http://maps.google.com/maps?f=d&source=s_d&saddr=43.0695001799004,-76.174216672758&daddr=43.048677,-76.152228","--- 
LonLat: 
- - -76.17444
  - 43.06944
- - -76.17574
  - 43.06959
- - -76.17574
  - 43.06959
- - -76.17619
  - 43.06904
- - -76.17619
  - 43.06904
- - -76.17637
  - 43.06914
- - -76.17637
  - 43.06914
- - -76.17685
  - 43.06851
- - -76.17686
  - 43.06829
- - -76.17677
  - 43.06805
- - -76.17648
  - 43.06783
- - -76.1749
  - 43.06712
- - -76.17458
  - 43.06678
- - -76.17436
  - 43.06662
- - -76.17352
  - 43.06611
- - -76.17327
  - 43.066
- - -76.17312
  - 43.06595
- - -76.17267
  - 43.06594
- - -76.1723
  - 43.06606
- - -76.17205
  - 43.06627
- - -76.17192
  - 43.06651
- - -76.17173
  - 43.06671
- - -76.17108
  - 43.06727
- - -76.17108
  - 43.06727
- - -76.17003
  - 43.06809
- - -76.16996
  - 43.0682
- - -76.16986
  - 43.06877
- - -76.16986
  - 43.06877
- - -76.16968
  - 43.06896
- - -76.16916
  - 43.06926
- - -76.16892
  - 43.0693
- - -76.16857
  - 43.06922
- - -76.16711
  - 43.06824
- - -76.16545
  - 43.06686
- - -76.16487
  - 43.06647
- - -76.16403
  - 43.06603
- - -76.16403
  - 43.06603
- - -76.16362
  - 43.06587
- - -76.16362
  - 43.06587
- - -76.162
  - 43.06543
- - -76.16099
  - 43.06509
- - -76.16044
  - 43.06476
- - -76.15999
  - 43.06441
- - -76.15961
  - 43.06403
- - -76.15826
  - 43.0625
- - -76.15773
  - 43.06208
- - -76.15652
  - 43.06125
- - -76.15609
  - 43.06085
- - -76.15505
  - 43.05951
- - -76.1543
  - 43.05836
- - -76.15407
  - 43.05786
- - -76.15356
  - 43.05624
- - -76.15356
  - 43.05624
- - -76.15345
  - 43.05566
- - -76.15345
  - 43.05566
- - -76.15323
  - 43.0552
- - -76.15302
  - 43.05491
- - -76.15244
  - 43.05432
- - -76.15213
  - 43.05388
- - -76.15223
  - 43.04868
"
"http://maps.google.com/maps?f=d&source=s_d&saddr=43.017134,-76.116913&daddr=43.016084,-76.11973","--- 
LonLat: 
- - -76.1169
  - 43.01713
- - -76.117
  - 43.01693
- - -76.11682
  - 43.01617
- - -76.11686
  - 43.01599
- - -76.11699
  - 43.01586
- - -76.1172
  - 43.01576
- - -76.11737
  - 43.01572
- - -76.11807
  - 43.01568
- - -76.11823
  - 43.01561
- - -76.11831
  - 43.01546
- - -76.1183
  - 43.01509
- - -76.11853
  - 43.01488
- - -76.11853
  - 43.01488
- - -76.11893
  - 43.01535
- - -76.11973
  - 43.01608
"
"http://maps.google.com/maps?f=d&source=s_d&saddr=43.076619,-76.169514&daddr=43.068775,-76.169878","--- 
LonLat: 
- - -76.16952
  - 43.07661
- - -76.16972
  - 43.0767
- - -76.16982
  - 43.07668
- - -76.17031
  - 43.07605
- - -76.1703
  - 43.07597
- - -76.16965
  - 43.07544
- - -76.16965
  - 43.07544
- - -76.17178
  - 43.07419
- - -76.1725
  - 43.07372
- - -76.1725
  - 43.07372
- - -76.17167
  - 43.073
- - -76.17153
  - 43.07279
- - -76.17127
  - 43.072
- - -76.17109
  - 43.0717
- - -76.16982
  - 43.07048
- - -76.16967
  - 43.07029
- - -76.1696
  - 43.07002
- - -76.16986
  - 43.06877
"
"http://maps.google.com/maps?f=d&source=s_d&saddr=43.037287,-76.131462&daddr=43.037543,-76.140727","--- 
LonLat: 
- - -76.13146
  - 43.03729
- - -76.13134
  - 43.03632
- - -76.13129
  - 43.03626
- - -76.13129
  - 43.03626
- - -76.13169
  - 43.03611
- - -76.13277
  - 43.0364
- - -76.13387
  - 43.03625
- - -76.13432
  - 43.03628
- - -76.1344
  - 43.0362
- - -76.13441
  - 43.03553
- - -76.13451
  - 43.03542
- - -76.13728
  - 43.03544
- - -76.13782
  - 43.03563
- - -76.13807
  - 43.03578
- - -76.1381
  - 43.03588
- - -76.1381
  - 43.03588
- - -76.14058
  - 43.03577
- - -76.14058
  - 43.03577
- - -76.14073
  - 43.03754
"
"http://maps.google.com/maps?f=d&source=s_d&saddr=43.044371,-76.147519&daddr=43.04271,-76.14227+to:43.049453,-76.141081&hl=en&geocode=FRPOkAIdwRR2-w%3BFZbHkAIdQil2-yk5c5HAovPZiTG8cQpsbXFxDw%3BFe3hkAId5y12-w&mra=dvme&mrsp=1&sz=16&via=1&sll=43.042626,-76.142957&sspn=0.005849,0.010042&ie=UTF8&ll=43.042524,-76.142431&spn=0.002925,0.005021&t=h&z=17","--- 
LonLat: 
- - -76.14752
  - 43.04437
- - -76.14754
  - 43.04274
- - -76.14754
  - 43.04274
- - -76.14485
  - 43.04275
- - -76.14227
  - 43.04271
- - -76.14227
  - 43.04271
- - -76.1422
  - 43.04675
- - -76.14211
  - 43.04841
- - -76.14216
  - 43.04847
- - -76.14214
  - 43.04946
- - -76.14214
  - 43.04946
- - -76.14108
  - 43.04945
"
"http://maps.google.com/maps?f=d&source=s_d&saddr=43.015119,-76.120723&daddr=43.010848,-76.115862","--- 
LonLat: 
- - -76.12073
  - 43.01512
- - -76.12048
  - 43.01482
- - -76.12048
  - 43.01482
- - -76.12012
  - 43.01475
- - -76.11972
  - 43.01454
- - -76.11952
  - 43.01452
- - -76.11886
  - 43.0147
- - -76.11853
  - 43.01488
- - -76.11853
  - 43.01488
- - -76.11819
  - 43.01442
- - -76.11773
  - 43.01367
- - -76.11674
  - 43.01189
- - -76.11634
  - 43.01148
- - -76.11616
  - 43.01136
- - -76.11578
  - 43.01114
- - -76.11532
  - 43.01097
- - -76.11532
  - 43.01097
- - -76.11536
  - 43.01086
- - -76.11547
  - 43.01082
- - -76.11586
  - 43.01084
"
"http://maps.google.com/maps?f=d&source=s_d&saddr=43.036814,-76.118936&daddr=43.04051,-76.134474","--- 
LonLat: 
- - -76.11893
  - 43.03681
- - -76.125
  - 43.03649
- - -76.1298
  - 43.03628
- - -76.1298
  - 43.03628
- - -76.13017
  - 43.04048
- - -76.13017
  - 43.04048
- - -76.13447
  - 43.04051
"
"http://maps.google.com/maps?f=d&source=s_d&saddr=43.03755,-76.140731&daddr=43.042636,-76.128756","--- 
LonLat: 
- - -76.14073
  - 43.03754
- - -76.13825
  - 43.03765
- - -76.13825
  - 43.03765
- - -76.13826
  - 43.03822
- - -76.13792
  - 43.03998
- - -76.13787
  - 43.04054
- - -76.13787
  - 43.04054
- - -76.12856
  - 43.04046
- - -76.12856
  - 43.04046
- - -76.12875
  - 43.04264
"
"http://maps.google.com/maps?f=d&source=s_d&saddr=42.995521,-76.120107&daddr=43.004545,-76.130792","--- 
LonLat: 
- - -76.12009
  - 42.99552
- - -76.12003
  - 42.99582
- - -76.11983
  - 42.99615
- - -76.11881
  - 42.99688
- - -76.11869
  - 42.99703
- - -76.11859
  - 42.9972
- - -76.11836
  - 42.99794
- - -76.11836
  - 42.99794
- - -76.12171
  - 42.99854
- - -76.12661
  - 42.99984
- - -76.12808
  - 43.00017
- - -76.12858
  - 43.00042
- - -76.12878
  - 43.00057
- - -76.12908
  - 43.00091
- - -76.12924
  - 43.00125
- - -76.12949
  - 43.00207
- - -76.12949
  - 43.00207
- - -76.12996
  - 43.00315
- - -76.13078
  - 43.00455
"
"http://maps.google.com/maps?f=d&source=s_d&saddr=43.035234,-76.067665&daddr=43.030619,-76.051038","--- 
LonLat: 
- - -76.06767
  - 43.03523
- - -76.06593
  - 43.03488
- - -76.06585
  - 43.03481
- - -76.06161
  - 43.03389
- - -76.06144
  - 43.0339
- - -76.05682
  - 43.03283
- - -76.05587
  - 43.03253
- - -76.05104
  - 43.03061
"
"http://maps.google.com/maps?f=d&source=s_d&saddr=43.033685,-76.131634&daddr=43.0365579,-76.123773+to:43.03021,-76.12256+to:43.036814,-76.118936&hl=en&geocode=FVWkkAIdzlJ2-w%3BFY2vkAIdg3F2-ynJJhapc_PZiTGFxc96l2PdvQ%3BFcKWkAIdQHZ2-ykZqd1acPPZiTGwOkpKfZAVHw%3BFY6wkAIdaIR2-w&mra=dvme&mrsp=2&sz=16&via=1,2&sll=43.031067,-76.122422&sspn=0.005851,0.010042&ie=UTF8&ll=43.036384,-76.121757&spn=0.00585,0.010042&t=h&z=16","--- 
LonLat: 
- - -76.13164
  - 43.03368
- - -76.13285
  - 43.03451
- - -76.13308
  - 43.03482
- - -76.13321
  - 43.03515
- - -76.1332
  - 43.03548
- - -76.13304
  - 43.03566
- - -76.13282
  - 43.03578
- - -76.13262
  - 43.03581
- - -76.13241
  - 43.03579
- - -76.13194
  - 43.0356
- - -76.13096
  - 43.0349
- - -76.13055
  - 43.03444
- - -76.13028
  - 43.03406
- - -76.13009
  - 43.03398
- - -76.12959
  - 43.03396
- - -76.12959
  - 43.03396
- - -76.1298
  - 43.03628
- - -76.1298
  - 43.03628
- - -76.12317
  - 43.0366
- - -76.12317
  - 43.0366
- - -76.12256
  - 43.03021
- - -76.12256
  - 43.03021
- - -76.11838
  - 43.03042
- - -76.11838
  - 43.03042
- - -76.11893
  - 43.03681
"
"http://maps.google.com/maps?f=d&source=s_d&saddr=43.036818,-76.118941&daddr=43.046896,-76.134333","--- 
LonLat: 
- - -76.11893
  - 43.03681
- - -76.11968
  - 43.04553
- - -76.11968
  - 43.04553
- - -76.12024
  - 43.0456
- - -76.12069
  - 43.04571
- - -76.12161
  - 43.04617
- - -76.12412
  - 43.04705
- - -76.13433
  - 43.04688
"
